city,date,Index Value,Air Quality,Prominent Pollutant
Chennai,2019-11-29,45,Good,"OZONE, PM10, PM2.5"
Patna,2018-05-21,225,Poor,PM2.5
Lucknow,2018-10-10,228,Poor,PM2.5
Delhi,2023-12-20,285,Poor,PM2.5
Bengaluru,2020-10-14,43,Good,"PM10, PM2.5"
Hyderabad,2023-07-14,58,Satisfactory,PM10
Bengaluru,2015-12-07,68,Satisfactory,PM2.5
Delhi,2023-12-11,317,Very Poor,PM2.5
Howrah,2018-09-30,132,Moderate,"PM10, PM2.5"
Hyderabad,2018-09-16,98,Satisfactory,"PM10, PM2.5"
Mumbai,2021-09-26,64,Satisfactory,"CO, O3, PM10"
